Nombre;Año;Axis;Diametro;Peso
Silver Denarius of Marcus Aurelius- Rome- AD 166 - AD 167. 1956.127.820 ;AD-166;6;17.5;2.86
Bronze Sestertius of Titus- Rome- AD 80 - AD 81. 1944.100.41810 ;AD-80;5;36.0;27.77
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8770 ;AD-317;6;19.0;2.64
Bronze AE3 of Constantine I- Siscia- AD 320. 1957.159.11 ;AD-320.;1;19.0;2.73
Bronze AE3 of Constantius II- Alexandria- AD 347 - AD 348. 1954.123.35 ;AD-347;6;15.0;1.69
Silver Denarius of Augustus- Uncertain value- 29 BC - 27 BC. 1954.203.150 ;29-BC;9;20.5;3.69
Bronze AE3 of Constantine I- Ticinum- AD 320 - AD 321. 1969.222.85 ;AD-320;1;18.0;2.54
Bronze Quadrans of Augustus- Rome- 5 BC. 1944.100.38411 ;5-BC.;7;17.0;3.0
Bronze AE1 of Diocletian- Antioch- AD 304 - AD 305. 1944.100.4279 ;AD-304;6;29.5;10.93
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1948.19.1204 ;AD-125;6;17.5;3.43
Bronze Sestertius of Volusian- Rome- AD 251 - AD 253. 1948.8.128 ;AD-251;11;27.5;16.86
Bronze Semis- Rome- 211 B.C.. 1954.18.8 ;211-B.C..;5;28.5;31.19
Bronze AE3 of Constantine I- Nicomedia- AD 330 - AD 335. 1944.100.8686 ;AD-330;6;17.5;2.32
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.295 ;AD-134;6;17.0;3.23
Silver Antoninianus of Carausius- Londinium- AD 286 - AD 293. 1944.100.38198 ;AD-286;7;21.5;3.78
Bronze As of Vespasian- Lugdunum- AD 77 - AD 78. 1948.146.6 ;AD-77;6;27.0;11.23
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 176. 1956.127.945 ;AD-161;7;17.5;3.23
Silver Antoninianus of Maximian- Siscia- AD 285 - AD 286. 1944.100.38077 ;AD-285;6;22.0;3.79
Silver Denarius of Antoninus Pius- Rome- AD 139 - AD 141. 1957.172.1727 ;AD-139;6;17.0;3.29
Silver Denarius of Augustus- Colonia Patricia- 18 BC - 17 BC. 1944.100.39074 ;18-BC;6;20.0;3.84
Bronze Dupondius of Antoninus Pius- Rome- AD 139. 1944.100.48203 ;AD-139.;6;26.0;11.5
Bronze Sestertius of Vespasian- Rome- AD 71. 1944.100.39983 ;AD-71.;5;33.0;23.21
Silver Denarius of Severus Alexander- Rome- AD 228 - AD 231. 1948.19.1847 ;AD-228;12;20.0;3.06
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1580 ;AD-103;7;18.0;3.27
Bronze Sestertius of Trajan Decius- Rome- AD 249 - AD 251. 1946.35.130 ;AD-249;2;30.0;17.06
Silver Denarius of Titus- Rome- AD 80. 1956.28.152 ;AD-80.;6;17.0;2.92
Silver Denarius of Trajan- Rome- AD 114. 1956.127.1671 ;AD-114.;6;20.0;3.42
Bronze AE1 of Diocletian- Heraclea- AD 297 - AD 298. 1944.100.3916 ;AD-297;6;26.5;9.27
Bronze Dupondius of Augustus- Rome- 17 BC. 1944.100.38374 ;17-BC.;7;29.0;13.55
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.1837 ;AD-145;6;18.5;3.07
Silver Denarius- Rome- 137 B.C.. 1944.100.380 ;137-B.C..;8;22.5;3.88
Bronze Quadrans of Hadrian- Rome- AD 121 - AD 122. 1944.100.45647 ;AD-121;6;18.0;3.33
Bronze Sestertius of Hadrian- Rome- AD 125 - AD 128. 1957.172.1688 ;AD-125;6;30.0;22.34
Bronze As of Vespasian- Rome- AD 71. 1944.100.41578 ;AD-71.;6;30.0;12.88
Bronze AE1 of Diocletian- Antioch- AD 300 - AD 301. 1944.100.4224 ;AD-300;11;25.5;8.51
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8808 ;AD-324;12;19.5;2.23
Bronze Semis of Nero- Rome- AD 64 - AD 68. 1944.100.39770 ;AD-64;6;18.5;2.65
Silver Denarius of Trajan- Rome- AD 112 - AD 114. 1956.127.1624 ;AD-112;7;20.0;3.11
Silver Denarius of Vespasian- Rome- AD 70. 1956.127.14 ;AD-70.;6;17.0;3.25
Silver Denarius of Elagabalus- Rome- AD 218 - AD 222. 1948.19.1753 ;AD-218;6;19.0;3.06
Bronze As of Tiberius- Rome- AD 15 - AD 16. 1944.100.39229 ;AD-15;12;27.0;11.18
Bronze As of Trajan- Rome- AD 99 - AD 100. 1944.100.44693 ;AD-99;6;27.0;13.15
Bronze As of Augustus- Lugdunum- 10 BC - 6 BC. 1944.100.39125 ;10-BC;7;25.0;6.62
Bronze Sestertius of Severus Alexander- Rome- AD 226. 1946.35.80 ;AD-226.;2;30.0;19.97
Bronze As of Domitian- Rome- AD 85. 1944.100.42576 ;AD-85.;6;29.0;10.39
Bronze As of Domitian- Rome- AD 84. 1963.267.9 ;AD-84.;6;28.0;9.57
Bronze Dupondius of Tiberius- Rome- AD 22 - AD 26. 1944.100.39220 ;AD-22;12;31.5;12.14
Silver Denarius of Trajan- Rome- AD 103 - AD 111. 1956.127.1712 ;AD-103;6;18.0;3.02
Silver Antoninianus of Carus- Rome- AD 282 - AD 283. 1944.100.36443 ;AD-282;6;21.0;3.3
Bronze Sestertius of Postumus- Lugdunum- AD 260 - AD 269. 1951.23.7 ;AD-260;6;31.5;16.26
Bronze AE1 of Diocletian- Antioch- AD 302 - AD 303. 1944.100.4261 ;AD-302;6;25.5;10.47
Bronze Sestertius of Hadrian- Rome- AD 134 - AD 138. 1944.100.47464 ;AD-134;12;30.0;26.84
Bronze AE1 of Constantius Chlorus- Carthage- AD 306. 1944.100.4026 ;AD-306.;6;27.5;11.35
Bronze AE1 of Maximinus Daia- Antioch- AD 305. 1944.100.4328 ;AD-305.;12;26.5;9.66
Silver Antoninianus of Carus- Ticinum- AD 282 - AD 283. 1947.97.301 ;AD-282;6;22.5;3.42
Silver Denarius of Trajan- Rome- AD 112 - AD 114. 1956.127.1602 ;AD-112;6;19.5;3.32
Bronze Semis- Rome- 211 B.C.. 1969.83.155 ;211-B.C..;11;26.0;16.37
Bronze AE3 of Constantine I- Antioch- AD 330 - AD 335. 1944.100.9096 ;AD-330;6;16.0;2.23
Silver Denarius of Antoninus Pius- Rome- AD 148 - AD 149. 1956.127.415 ;AD-148;5;18.0;3.51
Silver Denarius of Trajan- Rome- AD 101 - AD 102. 1956.127.1410 ;AD-101;5;19.5;3.39
Silver Denarius of Pupienus- Rome- AD 238. 1948.19.399 ;AD-238.;6;20.0;2.48
Bronze As of Antoninus Pius- Rome- AD 138 - AD 141. 1957.172.1737 ;AD-138;5;27.0;9.78
Bronze As of Nerva- Rome- AD 97. 1965.32.26 ;AD-97.;6;25.0;10.92
Silver Uncertain value of Maximian- Carthage- AD 300. 1962.83.4 ;AD-300.;6;17.0;3.45
Silver Denarius of Antoninus Pius- Rome- AD 141. 1944.100.48355 ;AD-141.;6;17.5;2.97
Bronze AE3 of Constantine I- Cyzicus- AD 330 - AD 334. 1929.27.4 ;AD-330;6;17.5;3.23
Bronze AE3 of Constantine I- Alexandria- AD 333 - AD 335. 2004.14.204 ;AD-333;6;17.5;2.34
Silver Denarius of Marcus Aurelius- Rome- AD 171 - AD 172. 1948.19.1321 ;AD-171;6;18.0;3.09
Silver Denarius of Hadrian- Rome- AD 119 - AD 122. 1956.127.143 ;AD-119;6;17.5;3.29
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1956.127.200 ;AD-125;7;17.0;3.26
Silver Denarius of Antoninus Pius- Rome- AD 158 - AD 159. 1956.127.1891 ;AD-158;6;17.0;3.43
Bronze AE3 of Licinius- Cyzicus- AD 321 - AD 324. 1944.100.8799 ;AD-321;12;18.5;2.76
Bronze AE1 of Maximinus Daia- Antioch- AD 306. 1944.100.4341 ;AD-306.;6;25.5;9.69
Silver Drachma of Lysimachus- Colophon- 301 B.C. - 297 B.C.. 1948.78.29 ;301-B.C.;12;19.0;4.0
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.607 ;AD-141.;6;16.0;3.03
Silver Denarius of Vespasian- Rome- AD 76. 1944.100.39938 ;AD-76.;6;18.0;3.32
Silver Denarius of Nerva- Rome- AD 97. 1944.100.42628 ;AD-97.;6;17.0;3.12
Bronze AE1 of Diocletian- Serdica- AD 303 - AD 305. 1944.100.4047 ;AD-303;11;26.5;10.15
Silver Drachma- Colophon- 323 B.C. - 319 B.C.. 1948.78.26 ;323-B.C.;1;16.6;4.24
Silver Denarius of Antoninus Pius- Rome- AD 145 - AD 161. 1956.127.934 ;AD-145;6;16.0;3.99
