Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Silver Denarius of Marcus Aurelius- Rome- AD 166 - AD 167. 1956.127.820 ,AD-166,6,17.5,2.86,http://numismatics.org/collectionimages/19501999/1956/1956.127.820.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.820.rev.width350.jpg
Bronze Sestertius of Titus- Rome- AD 80 - AD 81. 1944.100.41810 ,AD-80,5,36.0,27.77,http://numismatics.org/collectionimages/19001949/1944/1944.100.41810.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.41810.rev.width350.jpg
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8770 ,AD-317,6,19.0,2.64,http://numismatics.org/collectionimages/19001949/1944/1944.100.8770.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.8770.rev.width350.jpg
Bronze AE3 of Constantine I- Siscia- AD 320. 1957.159.11 ,AD-320.,1,19.0,2.73,http://numismatics.org/collectionimages/19501999/1957/1957.159.11.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.159.11.rev.width350.jpg
Bronze AE3 of Constantius II- Alexandria- AD 347 - AD 348. 1954.123.35 ,AD-347,6,15.0,1.69,http://numismatics.org/collectionimages/19501999/1954/1954.123.35.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1954/1954.123.35.rev.width350.jpg
Silver Denarius of Augustus- Uncertain value- 29 BC - 27 BC. 1954.203.150 ,29-BC,9,20.5,3.69,http://numismatics.org/collectionimages/19501999/1954/1954.203.150.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1954/1954.203.150.rev.width350.jpg
Bronze AE3 of Constantine I- Ticinum- AD 320 - AD 321. 1969.222.85 ,AD-320,1,18.0,2.54,http://numismatics.org/collectionimages/19501999/1969/1969.222.85.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.222.85.rev.width350.jpg
Bronze Quadrans of Augustus- Rome- 5 BC. 1944.100.38411 ,5-BC.,7,17.0,3.0,http://numismatics.org/collectionimages/19001949/1944/1944.100.38411.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.38411.rev.width350.jpg
Bronze AE1 of Diocletian- Antioch- AD 304 - AD 305. 1944.100.4279 ,AD-304,6,29.5,10.93,http://numismatics.org/collectionimages/19001949/1944/1944.100.4279.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4279.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1948.19.1204 ,AD-125,6,17.5,3.43,http://numismatics.org/collectionimages/19001949/1948/1948.19.1204.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.1204.rev.width350.jpg
Bronze Sestertius of Volusian- Rome- AD 251 - AD 253. 1948.8.128 ,AD-251,11,27.5,16.86,http://numismatics.org/collectionimages/19001949/1948/1948.8.128.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.8.128.rev.width350.jpg
Bronze Semis- Rome- 211 B.C.. 1954.18.8 ,211-B.C..,5,28.5,31.19,http://numismatics.org/collectionimages/19501999/1954/1954.18.8.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1954/1954.18.8.rev.width350.jpg
Bronze AE3 of Constantine I- Nicomedia- AD 330 - AD 335. 1944.100.8686 ,AD-330,6,17.5,2.32,http://numismatics.org/collectionimages/19001949/1944/1944.100.8686.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.8686.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.295 ,AD-134,6,17.0,3.23,http://numismatics.org/collectionimages/19501999/1956/1956.127.295.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.295.rev.width350.jpg
Silver Antoninianus of Carausius- Londinium- AD 286 - AD 293. 1944.100.38198 ,AD-286,7,21.5,3.78,http://numismatics.org/collectionimages/19001949/1944/1944.100.38198.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.38198.rev.width350.jpg
Bronze As of Vespasian- Lugdunum- AD 77 - AD 78. 1948.146.6 ,AD-77,6,27.0,11.23,http://numismatics.org/collectionimages/19001949/1948/1948.146.6.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.146.6.rev.width350.jpg
Silver Denarius of Marcus Aurelius- Rome- AD 161 - AD 176. 1956.127.945 ,AD-161,7,17.5,3.23,http://numismatics.org/collectionimages/19501999/1956/1956.127.945.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.945.rev.width350.jpg
Silver Antoninianus of Maximian- Siscia- AD 285 - AD 286. 1944.100.38077 ,AD-285,6,22.0,3.79,http://numismatics.org/collectionimages/19001949/1944/1944.100.38077.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.38077.rev.width350.jpg
Silver Denarius of Antoninus Pius- Rome- AD 139 - AD 141. 1957.172.1727 ,AD-139,6,17.0,3.29,http://numismatics.org/collectionimages/19501999/1957/1957.172.1727.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1727.rev.width350.jpg
Silver Denarius of Augustus- Colonia Patricia- 18 BC - 17 BC. 1944.100.39074 ,18-BC,6,20.0,3.84,http://numismatics.org/collectionimages/19001949/1944/1944.100.39074.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39074.rev.width350.jpg
Bronze Dupondius of Antoninus Pius- Rome- AD 139. 1944.100.48203 ,AD-139.,6,26.0,11.5,http://numismatics.org/collectionimages/19001949/1944/1944.100.48203.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.48203.rev.width350.jpg
Bronze Sestertius of Vespasian- Rome- AD 71. 1944.100.39983 ,AD-71.,5,33.0,23.21,http://numismatics.org/collectionimages/19001949/1944/1944.100.39983.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39983.rev.width350.jpg
